_time,event_id,description,user_name,src_ip,dest_ip,workstation,logon_type,status,process_name,parent_process,cmd_line,target_user,domain,source_port
2026-08-28 10:15:01,4625,Failed login attempt detected for Administrator account.,Administrator,192.168.1.50,192.168.1.100,ATTACKER-PC,Network,Failure,winlogon.exe,lsass.exe,winlogon.exe /failed_logon,Administrator,LAB,51423
2026-08-28 10:15:38,4624,Successful network login for Administrator account.,Administrator,192.168.1.50,192.168.1.100,ATTACKER-PC,Network,Success,winlogon.exe,lsass.exe,winlogon.exe /logon_success,Administrator,LAB,51424
2026-08-28 10:16:15,4720,A new local user account TestUser was created by AdminUser.,AdminUser,192.168.1.10,192.168.1.100,ADMIN-PC,Interactive,Success,net.exe,cmd.exe,net user TestUser Password123 /add,TestUser,LAB,49152
2026-08-28 10:16:52,4732,TestUser was added to the local Administrators security group.,AdminUser,192.168.1.10,192.168.1.100,ADMIN-PC,Interactive,Success,net.exe,cmd.exe,net localgroup Administrators TestUser /add,TestUser,LAB,49153
2026-08-28 10:17:29,4672,Administrator account received special administrative privileges.,Administrator,192.168.1.20,192.168.1.100,ADMIN-PC,Interactive,Success,lsass.exe,services.exe,lsass.exe SeDebugPrivilege,Administrator,LAB,49154
2026-08-28 10:18:06,4688,PowerShell process was created to enumerate running processes.,Administrator,192.168.1.20,192.168.1.100,ADMIN-PC,Interactive,Success,powershell.exe,explorer.exe,powershell.exe -Command Get-Process,Administrator,LAB,49155
2026-08-28 10:18:43,4104,PowerShell script block executed the Get-Process command.,Administrator,192.168.1.20,192.168.1.100,ADMIN-PC,Interactive,Success,powershell.exe,powershell.exe,powershell.exe -Command Get-Process,Administrator,LAB,49156
2026-08-28 10:19:20,4688,Command prompt executed whoami for user identity discovery.,TestUser,192.168.1.60,192.168.1.100,USER-PC,Interactive,Success,cmd.exe,explorer.exe,cmd.exe /c whoami,TestUser,LAB,49157
2026-08-28 10:19:57,4625,Remote login failed because the supplied credentials were invalid.,TestUser,192.168.1.70,192.168.1.100,UNKNOWN-PC,RemoteInteractive,Failure,winlogon.exe,lsass.exe,winlogon.exe /bad_password,TestUser,LAB,49200
2026-08-28 10:20:34,4688,Command prompt executed ipconfig to collect network configuration.,Administrator,192.168.1.30,192.168.1.100,ADMIN-PC,Interactive,Success,cmd.exe,explorer.exe,cmd.exe /c ipconfig /all,Administrator,LAB,49201
2026-08-28 10:21:11,4625,Failed login attempt detected for Administrator account.,Administrator,192.168.1.50,192.168.1.100,ATTACKER-PC,Network,Failure,winlogon.exe,lsass.exe,winlogon.exe /failed_logon,Administrator,LAB,51423
2026-08-28 10:21:48,4624,Successful network login for Administrator account.,Administrator,192.168.1.50,192.168.1.100,ATTACKER-PC,Network,Success,winlogon.exe,lsass.exe,winlogon.exe /logon_success,Administrator,LAB,51424
2026-08-28 10:22:25,4720,A new local user account TestUser was created by AdminUser.,AdminUser,192.168.1.10,192.168.1.100,ADMIN-PC,Interactive,Success,net.exe,cmd.exe,net user TestUser Password123 /add,TestUser,LAB,49152
2026-08-28 10:23:02,4732,TestUser was added to the local Administrators security group.,AdminUser,192.168.1.10,192.168.1.100,ADMIN-PC,Interactive,Success,net.exe,cmd.exe,net localgroup Administrators TestUser /add,TestUser,LAB,49153
2026-08-28 10:23:39,4672,Administrator account received special administrative privileges.,Administrator,192.168.1.20,192.168.1.100,ADMIN-PC,Interactive,Success,lsass.exe,services.exe,lsass.exe SeDebugPrivilege,Administrator,LAB,49154
2026-08-28 10:24:16,4688,PowerShell process was created to enumerate running processes.,Administrator,192.168.1.20,192.168.1.100,ADMIN-PC,Interactive,Success,powershell.exe,explorer.exe,powershell.exe -Command Get-Process,Administrator,LAB,49155
2026-08-28 10:24:53,4104,PowerShell script block executed the Get-Process command.,Administrator,192.168.1.20,192.168.1.100,ADMIN-PC,Interactive,Success,powershell.exe,powershell.exe,powershell.exe -Command Get-Process,Administrator,LAB,49156
2026-08-28 10:25:30,4688,Command prompt executed whoami for user identity discovery.,TestUser,192.168.1.60,192.168.1.100,USER-PC,Interactive,Success,cmd.exe,explorer.exe,cmd.exe /c whoami,TestUser,LAB,49157
2026-08-28 10:26:07,4625,Remote login failed because the supplied credentials were invalid.,TestUser,192.168.1.70,192.168.1.100,UNKNOWN-PC,RemoteInteractive,Failure,winlogon.exe,lsass.exe,winlogon.exe /bad_password,TestUser,LAB,49200
2026-08-28 10:26:44,4688,Command prompt executed ipconfig to collect network configuration.,Administrator,192.168.1.30,192.168.1.100,ADMIN-PC,Interactive,Success,cmd.exe,explorer.exe,cmd.exe /c ipconfig /all,Administrator,LAB,49201
2026-08-28 10:27:21,4625,Failed login attempt detected for Administrator account.,Administrator,192.168.1.50,192.168.1.100,ATTACKER-PC,Network,Failure,winlogon.exe,lsass.exe,winlogon.exe /failed_logon,Administrator,LAB,51423
2026-08-28 10:27:58,4624,Successful network login for Administrator account.,Administrator,192.168.1.50,192.168.1.100,ATTACKER-PC,Network,Success,winlogon.exe,lsass.exe,winlogon.exe /logon_success,Administrator,LAB,51424
2026-08-28 10:28:35,4720,A new local user account TestUser was created by AdminUser.,AdminUser,192.168.1.10,192.168.1.100,ADMIN-PC,Interactive,Success,net.exe,cmd.exe,net user TestUser Password123 /add,TestUser,LAB,49152
2026-08-28 10:29:12,4732,TestUser was added to the local Administrators security group.,AdminUser,192.168.1.10,192.168.1.100,ADMIN-PC,Interactive,Success,net.exe,cmd.exe,net localgroup Administrators TestUser /add,TestUser,LAB,49153
2026-08-28 10:29:49,4672,Administrator account received special administrative privileges.,Administrator,192.168.1.20,192.168.1.100,ADMIN-PC,Interactive,Success,lsass.exe,services.exe,lsass.exe SeDebugPrivilege,Administrator,LAB,49154
2026-08-28 10:30:26,4688,PowerShell process was created to enumerate running processes.,Administrator,192.168.1.20,192.168.1.100,ADMIN-PC,Interactive,Success,powershell.exe,explorer.exe,powershell.exe -Command Get-Process,Administrator,LAB,49155
2026-08-28 10:31:03,4104,PowerShell script block executed the Get-Process command.,Administrator,192.168.1.20,192.168.1.100,ADMIN-PC,Interactive,Success,powershell.exe,powershell.exe,powershell.exe -Command Get-Process,Administrator,LAB,49156
2026-08-28 10:31:40,4688,Command prompt executed whoami for user identity discovery.,TestUser,192.168.1.60,192.168.1.100,USER-PC,Interactive,Success,cmd.exe,explorer.exe,cmd.exe /c whoami,TestUser,LAB,49157
2026-08-28 10:32:17,4625,Remote login failed because the supplied credentials were invalid.,TestUser,192.168.1.70,192.168.1.100,UNKNOWN-PC,RemoteInteractive,Failure,winlogon.exe,lsass.exe,winlogon.exe /bad_password,TestUser,LAB,49200
2026-08-28 10:32:54,4688,Command prompt executed ipconfig to collect network configuration.,Administrator,192.168.1.30,192.168.1.100,ADMIN-PC,Interactive,Success,cmd.exe,explorer.exe,cmd.exe /c ipconfig /all,Administrator,LAB,49201
2026-08-28 10:33:31,4625,Failed login attempt detected for Administrator account.,Administrator,192.168.1.50,192.168.1.100,ATTACKER-PC,Network,Failure,winlogon.exe,lsass.exe,winlogon.exe /failed_logon,Administrator,LAB,51423
2026-08-28 10:34:08,4624,Successful network login for Administrator account.,Administrator,192.168.1.50,192.168.1.100,ATTACKER-PC,Network,Success,winlogon.exe,lsass.exe,winlogon.exe /logon_success,Administrator,LAB,51424
2026-08-28 10:34:45,4720,A new local user account TestUser was created by AdminUser.,AdminUser,192.168.1.10,192.168.1.100,ADMIN-PC,Interactive,Success,net.exe,cmd.exe,net user TestUser Password123 /add,TestUser,LAB,49152
2026-08-28 10:35:22,4732,TestUser was added to the local Administrators security group.,AdminUser,192.168.1.10,192.168.1.100,ADMIN-PC,Interactive,Success,net.exe,cmd.exe,net localgroup Administrators TestUser /add,TestUser,LAB,49153
2026-08-28 10:35:59,4672,Administrator account received special administrative privileges.,Administrator,192.168.1.20,192.168.1.100,ADMIN-PC,Interactive,Success,lsass.exe,services.exe,lsass.exe SeDebugPrivilege,Administrator,LAB,49154
2026-08-28 10:36:36,4688,PowerShell process was created to enumerate running processes.,Administrator,192.168.1.20,192.168.1.100,ADMIN-PC,Interactive,Success,powershell.exe,explorer.exe,powershell.exe -Command Get-Process,Administrator,LAB,49155
2026-08-28 10:37:13,4104,PowerShell script block executed the Get-Process command.,Administrator,192.168.1.20,192.168.1.100,ADMIN-PC,Interactive,Success,powershell.exe,powershell.exe,powershell.exe -Command Get-Process,Administrator,LAB,49156
2026-08-28 10:37:50,4688,Command prompt executed whoami for user identity discovery.,TestUser,192.168.1.60,192.168.1.100,USER-PC,Interactive,Success,cmd.exe,explorer.exe,cmd.exe /c whoami,TestUser,LAB,49157
2026-08-28 10:38:27,4625,Remote login failed because the supplied credentials were invalid.,TestUser,192.168.1.70,192.168.1.100,UNKNOWN-PC,RemoteInteractive,Failure,winlogon.exe,lsass.exe,winlogon.exe /bad_password,TestUser,LAB,49200
2026-08-28 10:39:04,4688,Command prompt executed ipconfig to collect network configuration.,Administrator,192.168.1.30,192.168.1.100,ADMIN-PC,Interactive,Success,cmd.exe,explorer.exe,cmd.exe /c ipconfig /all,Administrator,LAB,49201
2026-08-28 10:39:41,4625,Failed login attempt detected for Administrator account.,Administrator,192.168.1.50,192.168.1.100,ATTACKER-PC,Network,Failure,winlogon.exe,lsass.exe,winlogon.exe /failed_logon,Administrator,LAB,51423
